NOC,Pred_Gold_Medals,Gold_Medals_LowerCI,Gold_Medals_UpperCI,2024_Gold_Medals,CI_Margin,Prob_FirstMedal
FIJ,5.369749581461816e-09,-2.338923089603784e-08,3.4128730058961474e-08,0.0,2.8758980477499657e-08,0
PUR,4.773110745969201e-09,-2.402188604415498e-08,3.356810753609338e-08,0.0,2.8794996790124178e-08,0
URU,4.150531072366923e-09,-2.2802460032476734e-08,3.110352217721058e-08,0.0,2.6952991104843657e-08,0
PER,2.9761259066405225e-09,-2.4384039089910368e-08,3.033629090319141e-08,0.0,2.736016499655089e-08,0
IVB,0.0,0.0,0.0,0.0,0.0,0
HON,0.0,0.0,0.0,0.0,0.0,0
GUM,0.0,0.0,0.0,0.0,0.0,0
GEQ,0.0,0.0,0.0,0.0,0.0,0
GAM,0.0,0.0,0.0,0.0,0.0,0
ESA,0.0,0.0,0.0,0.0,0.0,0
HAI,0.0,0.0,0.0,0.0,0.0,0
GUY,0.0,0.0,0.0,0.0,0.0,0
GHA,0.0,0.0,0.0,0.0,0.0,0
GUI,0.0,0.0,0.0,0.0,0.0,0
BIH,0.0,0.0,0.0,0.0,0.0,0
BIZ,0.0,0.0,0.0,0.0,0.0,0
BAR,0.0,0.0,0.0,0.0,0.0,0
BAN,0.0,0.0,0.0,0.0,0.0,0
ANT,0.0,0.0,0.0,0.0,0.0,0
ALB,0.0,0.0,0.0,0.0,0.0,0
AFG,0.0,0.0,0.0,0.0,0.0,0
AHO,0.0,0.0,0.0,,0.0,0
AND,0.0,0.0,0.0,0.0,0.0,0
ANG,0.0,0.0,0.0,0.0,0.0,0
ASA,0.0,0.0,0.0,0.0,0.0,0
